Fatura no;Fatura Ýçeriði
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (MART 2021)(GSM:54% SA:8% SI:31% DO:7% )
VD62021033100841;KURULUM
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (MART 2021)(GSM:21% SA:11% SI:36% TN:1% TO:15% DO:15% )
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (MART 2021)(SI:100% )
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (MART 2021)(SI:100% )
VD62021033100841;ÝÞ FULL 35 - TAAHHÜTSÜZ - 2662465109 (NÝSAN 2021)
VD62021033100841;ÝÞ FULL 35 - TAAHHÜTSÜZ 27.03.2021-01.04.2021 2662465109
VD62021033100841;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (MART 2021)(GSM:29% SA:8% SI:47% TN:1% TO:3% DO:12% )
K012021000587275;TELEFON
BTE2021000001304;SISTEM DESTEK HIZMET BEDELI
BTE2021000001315;SISTEM DESTEK HIZMET BEDELI
BTE2021000001418;32GB TRUDDR4 MEMORY (2RX4, 1.2V) PC4-19200 CL17 2400MHZ LP RDIMM 
BTE2021000001418;SAMSUNG PM883 960GB SATA SSD ENTERPRISE -KIZAK DAHÝL  
BTE2021000001418;WESTERN DIGITAL 3.5'' 2TB PURPLE 7/ 3.5'' 2TB PURPLE 7/24 GÜVENLÝK 
BTE2021000001418;HP 2530-48G 48 PORT GIGABIT SWITCH 
BTE2021000001418;KURULUM VE YAPILANDIRMA BEDELÝ 
BTE2021000001418;"SYNOLOGY NAS SERVER 4AD 3,5""DISK DESTEKLI STORAGE "
BIL2021000000129;GÝGASET A120 TELSÝZ TELEFON
BIL2021000000129;PATCH KABLO 2 METRE
BIL2021000000129;1.5MT VGA KABLO
VTN2021000124930;HP 103A 2500 SAYFA KAPASÝTELÝ SÝYAH TONER (W1103A )
BTE2021000001571;MICROSOFT AZURE
BTE2021000001619;WATCHGUARD BASÝC SECURÝTY SUÝTE RENEWAL/UPGRADE 3-YR FOR FÝREBOX T55 
BTE2021000001619;ANNUAL MAÝNTENANCE RENEWAL - VEEAM BACKUP ESSENTÝALS STANDARD 2 SOCKET BUNDLE FOR VMWARE 
BTE2021000001619;2 ADDÝTÝONAL YEARS OF BASÝC MAÝNTENANCE PREPAÝD FOR VEEAM BACKUP ESSENTÝALS STANDARD 2 SOCKET BUNDLE 
BTE2021000001619;SUBS ONLY FOR VMWARE VSPHERE7 ESSKIT 3YR 
A162021001132122;DSL(ÝNTERNET)
A162021001129237;DSL(ÝNTERNET)
A162021001026165;DSL(ÝNTERNET)
A162021000945073;DSL(ÝNTERNET)
VE52021043001136;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (NÝSAN 2021)(SI:100% )
VE52021043001136;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (NÝSAN 2021)(GSM:24% SA:17% SI:46% TN:2% TO:2% DO:9% )
VE52021043001136;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (NÝSAN 2021)(GSM:18% SA:7% SI:65% TN:2% DO:9% )
VE52021043001136;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (NÝSAN 2021)(GSM:33% SA:11% SI:54% TN:1% DO:1% )
VE52021043001136;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (NÝSAN 2021)(GSM:24% SA:11% SI:49% TO:4% DO:13% )
VE52021043001136;ÝÞ FULL 35 - TAAHHÜTSÜZ - 2662465109 (MAYIS 2021)
VE52021043001136;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (NÝSAN 2021)(GSM:21% SA:8% SI:53% TN:2% TO:2% DO:14% )
VE52021043001136;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (NÝSAN 2021)
VE52021043001136;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (NÝSAN 2021)
VE52021043001136;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (NÝSAN 2021)(GSM:23% SA:8% SI:64% DO:5% )
K012021000778291;TELEFON
BTE2021000001673;SISTEM DESTEK HIZMET BEDELI
BTE2021000001682;SISTEM DESTEK HIZMET BEDELI
BTE2021000001858;MICROSOFT AZURE
A162021001250388;DSL(ÝNTERNET)
A162021001237483;DSL(ÝNTERNET)
A162021001458554;DSL(ÝNTERNET)
A162021001235378;DSL(ÝNTERNET)
VF62021053100587;ÝÞ FULL 35 - TAAHHÜTSÜZ - 2662465109 (HAZÝRAN 2021)
VF62021053100587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (MAYIS 2021)(GSM:38% SA:21% SI:34% TN:1% DO:6% )
VF62021053100587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (MAYIS 2021)(SI:100% )
VF62021053100587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (MAYIS 2021)(GSM:55% SA:12% SI:20% DO:14% )
VF62021053100587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (MAYIS 2021)(GSM:60% SA:14% SI:19% TN:1% DO:5% )
VF62021053100587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (MAYIS 2021)(GSM:54% SA:15% SI:28% DO:2% )
VF62021053100587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (MAYIS 2021)
VF62021053100587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (MAYIS 2021)(GSM:44% SA:7% SI:46% TN:1% DO:3% )
VF62021053100587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (MAYIS 2021)(GSM:52% SA:8% SI:34% DO:6% )
VF62021053100587;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (MAYIS 2021)
K012021001035906;TELEFON
BTE2021000002007;SISTEM DESTEK HIZMET BEDELI
BTE2021000002017;SISTEM DESTEK HIZMET BEDELI
BTE2021000002237;SISTEM DESTEK HIZMET BEDELI
VTN2021000197287;HP 103A 2500 SAYFA KAPASÝTELÝ SÝYAH TONER (W1103A )
A162021001747318;DSL(ÝNTERNET)
A162021001652921;DSL(ÝNTERNET)
A162021001749418;DSL(ÝNTERNET)
A162021001671895;DSL(ÝNTERNET)
VG52021063000814;ÝÞ FULL 35 - TAAHHÜTSÜZ - 2662465109 (TEMMUZ 2021)
VG52021063000814;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (HAZÝRAN 2021)(GSM:28% SA:17% SI:42% TN:1% DO:11% )
VG52021063000814;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (HAZÝRAN 2021)
VG52021063000814;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (HAZÝRAN 2021)(GSM:40% SA:14% SI:32% TO:1% DO:13% )
VG52021063000814;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (HAZÝRAN 2021)(GSM:29% SA:7% SI:57% TN:2% DO:6% )
VG52021063000814;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (HAZÝRAN 2021)(GSM:52% SA:10% SI:32% TN:3% TO:1% DO:4% )
VG52021063000814;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (HAZÝRAN 2021)
VG52021063000814;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (HAZÝRAN 2021)(GSM:36% SA:13% SI:39% TN:1% DO:11% )
VG52021063000814;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (HAZÝRAN 2021)(GSM:48% SA:5% SI:37% TO:3% DO:7% )
VG52021063000814;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (HAZÝRAN 2021)
C012021000017779;TELEFON
BTE2021000002392;SISTEM DESTEK HIZMET BEDELI
BTE2021000002401;SISTEM DESTEK HIZMET BEDELI
BTE2021000002494;MICROSOFT AZURE
A162021002150735;DSL(ÝNTERNET)
A162021001869764;DSL(ÝNTERNET)
YFR2021000001003;NETOLOJÝ BPM ENTERPRÝSE ANA PAKET
YFR2021000001003;NETOLOJÝ BPM ENTERPRÝSE MOBÝLE
YFR2021000001003;NETOLOJÝ BPM ENTERPRÝSE +50 KULLANÝCÝ
YFR2021000001003;ÝSKONTO
A162021002152734;DSL(ÝNTERNET)
A162021001993667;DSL(ÝNTERNET)
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (TEMMUZ 2021)(GSM:32% SA:15% SI:44% DO:9% )
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (TEMMUZ 2021)
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (TEMMUZ 2021)(GSM:51% SA:13% SI:29% TN:2% DO:5% )
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (TEMMUZ 2021)(GSM:46% SA:11% SI:41% DO:2% )
VH62021073101026;ÝÞ FULL 35 - TAAHHÜTSÜZ - 2662465109 (AÐUSTOS 2021)
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (TEMMUZ 2021)(GSM:27% SA:10% SI:56% TN:1% DO:5% )
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (TEMMUZ 2021)(GSM:39% SA:11% SI:35% TN:4% DO:11% )
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (TEMMUZ 2021)(GSM:35% SA:18% SI:38% TO:2% DO:7% )
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (TEMMUZ 2021)
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (TEMMUZ 2021)
VH62021073101026;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (TEMMUZ 2021)(GSM:34% SA:13% SI:46% DO:6% )
VH62021073101026;ÝSKONTO
C012021000032304;TELEFON
BTE2021000002727;SISTEM DESTEK HIZMET BEDELI
BTE2021000002736;SISTEM DESTEK HIZMET BEDELI
BTE2021000002834;KUR FARKI
BTE2021000003063;HP 250 G7 Ý5-1035G1 8G 256GB 15.6 DOS
BTE2021000003063;MICROSOFT OEM WIN10 PRO 64B TR DVD FQC-08977
A162021002440480;DSL(ÝNTERNET)
A162021002229009;DSL(ÝNTERNET)
A162021002438343;DSL(ÝNTERNET)
A162021002249698;DSL(ÝNTERNET)
VI62021083101356;ÝÞ ÝLETÝÞÝM SADECE TELEFON - HER YÖNE 1000 DAKÝKA - 39.90TL/AY (TAAHHÜTSÜZ)-2662462751 (AÐUSTOS 2(GSM:17% SA:29% SI:46% DO:9% )
VI62021083101356;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (AÐUSTOS 2021)(GSM:13% SA:23% SI:45% TN:2% TO:5% DO:11% )
VI62021083101356;ÝÞ ÝLETÝÞÝM SADECE TELEFON - HER YÖNE 1000 DAKÝKA - 39.90TL/AY (TAAHHÜTSÜZ)-2662463513 (AÐUSTOS 2(GSM:10% SA:25% SI:56% DO:9% )
VI62021083101356;ÝÞ ÝLETÝÞÝM SADECE TELEFON - HER YÖNE 1000 DAKÝKA - 39.90TL/AY (TAAHHÜTSÜZ)-2662465108 (AÐUSTOS 2(GSM:17% SA:33% SI:38% TN:1% DO:12% )
VI62021083101356;ÝÞ ÝLETÝÞÝM SADECE TELEFON - HER YÖNE 1000 DAKÝKA - 39.90TL/AY (TAAHHÜTSÜZ)-2662462755 (AÐUSTOS 2
VI62021083101356;ÝÞ ÝLETÝÞÝM SADECE TELEFON - HER YÖNE 1000 DAKÝKA - 39.90TL/AY (TAAHHÜTSÜZ)-2662461426 (AÐUSTOS 2
VI62021083101356;ÝÞ ÝLETÝÞÝM SADECE TELEFON - HER YÖNE 1000 DAKÝKA - 39.90TL/AY (TAAHHÜTSÜZ)-2662462750 (AÐUSTOS 2(GSM:24% SA:28% SI:40% TN:3% DO:5% )
VI62021083101356;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (AÐUSTOS 2021)
VI62021083101356;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (EYLÜL 2021)
VI62021083101356;ÝÞ ÝLETÝÞÝM SADECE TELEFON - HER YÖNE 1000 DAKÝKA - 39.90TL/AY (TAAHHÜTSÜZ)-2662460518 (AÐUSTOS 2(GSM:25% SA:18% SI:32% TN:3% DO:23% )
VI62021083101356;ÝÞ ÝLETÝÞÝM SADECE TELEFON - HER YÖNE 1000 DAKÝKA - 39.90TL/AY (TAAHHÜTSÜZ)-2662462752 (AÐUSTOS 2(GSM:18% SA:20% SI:40% TN:4% TO:1% DO:16% )
C012021000046226;TELEFON
BTE2021000003106;SISTEM DESTEK HIZMET BEDELI
BTE2021000003115;SISTEM DESTEK HIZMET BEDELI
VTN2021000286315;CRUCÝAL 240GB  SSD (OKUMA 540MB / YAZMA 500MB)
BTE2021000003324;ESET STANDART  21 KULLANICI 3 YIL YENÝLEME 
VTN2021000289297;"ASUS 23,6"" VG24VQ TUF GAMING 1MS 144HZ  MONÝTÖR"
BTE2021000003366;"WD RED 3,5"" 4TB 64MB 5400RPM "
BTE2021000003421;MICROSOFT AZURE
BTE2021000003422;MICROSOFT AZURE
01S2021000580787;SANAL VERÝ MERKEZÝ (%18 KDV )
A162021002701761;DSL(ÝNTERNET)
A162021002795594;DSL(ÝNTERNET)
01S2021000594433;SANAL VERÝ MERKEZÝ (%18 KDV )
A162021002795440;DSL(ÝNTERNET)
A162021002618750;DSL(ÝNTERNET)
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (EYLÜL 2021)(GSM:26% SA:19% SI:39% TN:2% TO:2% DO:12% )
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (EYLÜL 2021)(GSM:15% SA:20% SI:40% TN:3% TO:4% DO:19% )
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (EYLÜL 2021)(SA:100% )
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (EYLÜL 2021)(GSM:24% SA:14% SI:48% TO:1% DO:13% )
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (EYLÜL 2021)
VJ52021093001648;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (EKÝM 2021)
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (EYLÜL 2021)(GSM:10% SA:26% SI:39% TN:2% TO:6% DO:17% )
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (EYLÜL 2021)(GSM:11% SA:10% SI:62% TN:3% TO:6% DO:8% )
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (EYLÜL 2021)(GSM:18% SA:15% SI:56% TN:2% TO:2% DO:8% )
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (EYLÜL 2021)(GSM:25% SA:29% SI:27% TN:11% TO:1% DO:6% )
VJ52021093001648;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (EYLÜL 2021)(GSM:33% SA:26% SI:29% TN:7% DO:5% )
C012021000060116;TELEFON
BTE2021000003550;SISTEM DESTEK HIZMET BEDELI
BTE2021000003558;SISTEM DESTEK HIZMET BEDELI
BTE2021000003629;MICROSOFT AZURE
YFR2021000001360;PROJE VE DANIÞMANLIK HÝZMETÝ
YFR2021000001467;AYLIK TELEFON DESTEK HÝZMETÝ
BTE2021000003846;MICROSOFT AZURE
01S2021000630281;SANAL VERÝ MERKEZÝ (%18 KDV )
A162021002975525;DSL(ÝNTERNET)
A162021003243496;DSL(ÝNTERNET)
01S2021000616335;SANAL VERÝ MERKEZÝ (%18 KDV )
A162021002990176;DSL(ÝNTERNET)
A162021002965832;DSL(ÝNTERNET)
VK62021103101878;ÝÞ FULL 100 - TAAHHÜTSÜZ - 2662465109 (KASIM 2021)
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462752 (EKÝM 2021)(GSM:22% SA:16% SI:41% TN:6% TO:11% DO:4% )
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (EKÝM 2021)(GSM:15% SA:27% SI:41% TN:9% TO:1% DO:7% )
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (EKÝM 2021)
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (EKÝM 2021)(GSM:26% SA:19% SI:48% TN:5% DO:1% )
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (EKÝM 2021)(GSM:8% SA:19% SI:56% TN:6% TO:5% DO:6% )
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (EKÝM 2021)(GSM:7% SA:30% SI:55% TO:2% DO:6% )
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (EKÝM 2021)(GSM:18% SA:13% SI:50% TN:5% TO:3% DO:11% )
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (EKÝM 2021)(GSM:19% SA:10% SI:52% TN:2% TO:12% DO:5% )
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (EKÝM 2021)
VK62021103101878;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (EKÝM 2021)(GSM:27% SA:20% SI:41% TN:6% TO:2% DO:4% )
C012021000167396;TELEFON
BTE2021000003965;SISTEM DESTEK HIZMET BEDELI
BTE2021000003973;SISTEM DESTEK HIZMET BEDELI
BTE2021000004098;KUR FARKI
VTN2021000364390;INCA HDMI TO HDMI KABLO 2M
VTN2021000365831;S-LÝNK-ETHERNET 1 GÝGABÝT ÇEVÝRÝCÝ ADAPTÖR
YFR2021000001626;AYLIK TELEFON DESTEK HÝZMETÝ
BTE2021000004231;MICROSOFT AZURE
BTE2021000004265;MICROSOFT 365 BUSINESS STANDARD (BUSINESS PREMIUM)
BTE2021000004265;EXCHANGE ONLÝNE (PLAN 1)
BTE2021000004265;KURULUÞ BEDELÝ 
YFR2021000001627;PROJE VE DANIÞMANLIK HÝZMETÝ
VTN2021000385737;KÝOXÝA 480GB SSD
VTN2021000388177;KÝOXÝA 480GB SSD
YFR2021000001672;NETOLOJÝ BPM ENTERPRÝSE ANA PAKET
YFR2021000001672;NETOLOJÝ BPM ENTERPRÝSE MOBÝLE
YFR2021000001672;NETOLOJÝ BPM ENTERPRÝSE +200 KULLANÝCÝ
YFR2021000001672;ÝSKONTO
01S2021000690322;MPLSVPN HÝZMETLERÝ (%18 KDV + %10 OIV )
01S2021000690322;DATA SERVÝSLERÝ (%18 KDV + %10 OIV )
01S2021000690322;OFÝS GÜVENLÝK DUVARI (%18 KDV )
01S2021000690322;UZAKTAN YEDEKLEME (%18 KDV )
01S2021000690322;SANAL VERÝ MERKEZÝ (%18 KDV )
01S2021000690322;GECÝKME FAÝZÝ (%18 KDV )
A162021003346007;DSL(ÝNTERNET)
A162021003334593;DSL(ÝNTERNET)
01S2021000730306;SANAL VERÝ MERKEZÝ (%18 KDV )
01S2021000730306;GECÝKME FAÝZÝ (%18 KDV )
A162021003550641;DSL(ÝNTERNET)
A162021003446244;DSL(ÝNTERNET)
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465109 (KASIM 2021)
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662465108 (KASIM 2021)(GSM:16% SA:27% SI:40% TN:3% DO:14% )
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662461426 (KASIM 2021)(GSM:22% SA:37% SI:34% DO:7% )
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460518 (KASIM 2021)(GSM:16% SA:16% SI:44% TO:11% DO:13% )
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662463513 (KASIM 2021)(GSM:15% SA:25% SI:45% DO:15% )
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662460409 (KASIM 2021)(GSM:14% SA:23% SI:36% DO:27% )
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462755 (KASIM 2021)
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462751 (KASIM 2021)(GSM:19% SA:20% SI:51% DO:10% )
VL52021113001813;ÝÞ TELEFON - 1000 DAKÝKA - TAAHHÜTSÜZ-2662462750 (KASIM 2021)(GSM:16% SA:40% SI:26% DO:18% )
