Şirket;Tarih;Fatura no;Fatura içeriği;Gider sınıfı;Firma;Adet;Brim Fiyat;KDV Tutarı;OIV Tutarı;Ödenecek Tutar;Kur;Birim Fiyat Dolar;KDV Dolar
Bekkiler;30.04.2024;01S2024000576985;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;31.05.2024;01S2024000620457;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;30.06.2024;01S2024000916670;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;31.07.2024;01S2024001065420;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;31.08.2024;01S2024001252410;ENTERPRİSE WİFİ SERVİSİ (AP) (%20 KDV );İNTERNET VE SERVER G.;SUPERONLINE İLETİŞİM;1,00;300,00;60,00;0,00;360,00;0,00;0,00;0,00
Bekkiler;31.10.2023;A162023054694798;DSL(İNTERNET);İNTERNET VE SERVER G.;TTNET ANONIM SIRKETI;1,00;255,77;51,15;25,58;332,50;0,00;0,00;0,00
Bekkiler;31.10.2023;XK62023103100712;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662460518 (EKİM 2023)(GSM:23% SA:5% SI:40% TO:5% DO:27% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;31.10.2023;XK62023103100712;HER YÖNE 1000 DAKİKA - 10 TL/AY-2662465109 (EKİM 2023);SABIT HAT;TURKNET;1,00;7,69;1,54;0,77;10,00;0,00;0,00;0,00
Bekkiler;31.10.2023;XK62023103100712;İŞ MAX 35 - TAAHHÜTSÜZ - 2662465109 (KASIM 2023);SABIT HAT;TURKNET;1,00;192,23;38,45;19,22;249,90;0,00;0,00;0,00
Bekkiler;31.10.2023;XK62023103100712;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662462750 (EKİM 2023)(GSM:15% SA:9% SI:47% TO:5% DO:24% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
Bekkiler;31.10.2023;XK62023103100712;HER YÖNE 1000 DAKİKA - 24,90 TL/AY-2662465108 (EKİM 2023)(GSM:6% SA:11% SI:74% TO:2% DO:7% );SABIT HAT;TURKNET;1,00;19,15;3,83;1,92;24,90;0,00;0,00;0,00
